"('mid',)","('pid',)"
tt0008775,nm0002616
tt0008775,nm0256221
tt0008800,nm1596973
tt0008811,nm0101038
tt0008827,nm0547966
tt0008827,nm0542371
tt0008843,nm0433584
tt0008843,nm0883335
tt0008854,nm0473134
tt0008854,nm0708147
tt0008874,nm0000779
tt0008879,nm0803705
tt0008879,nm0039377
tt0008879,nm2642082
tt0008884,nm0005803
tt0008891,nm0535508
tt0008891,nm0537510
tt0008892,nm0370271
tt0008907,nm0000122
tt0008930,nm0661844
tt0008930,nm0938878
tt0008950,nm0617737
tt0008950,nm0473134
tt0008950,nm0226087
tt0008950,nm0266183
tt0008950,nm0824193
tt0008955,nm0369856
tt0008955,nm0919890
tt0008975,nm0000779
tt0009014,nm0304098
tt0009018,nm0000122
tt0009026,nm0617202
tt0009026,nm0927032
tt0009045,nm0279404
tt0009062,nm0523932
tt0009086,nm0613943
tt0009086,nm0769091
tt0009088,nm0048305
tt0009088,nm0783865
tt0009099,nm0907778
tt0009105,nm0205984
tt0009105,nm0639891
tt0009109,nm0000428
tt0009109,nm0853193
tt0009123,nm0000779
tt0009150,nm0000428
tt0009153,nm0000406
tt0009153,nm0002503
tt0009153,nm0507181
tt0009241,nm0400912
tt0009241,nm0547966
tt0009316,nm0907778
tt0009326,nm0366610
tt0009326,nm0547966
tt0009356,nm0847910
tt0009369,nm0215874
tt0009369,nm0370271
tt0009389,nm0000779
tt0009434,nm0907778
tt0009440,nm0534221
tt0009440,nm0680345
tt0009466,nm0000779
tt0009466,nm0848231
tt0009475,nm0361986
tt0009475,nm0448013
tt0009522,nm0474486
tt0009559,nm0144870
tt0009559,nm0000428
tt0009608,nm0206801
tt0009611,nm0000122
tt0009620,nm0565560
tt0009629,nm0509305
tt0009629,nm0521002
tt0009629,nm0694260
tt0009652,nm0516810
tt0009652,nm0547966
tt0009682,nm0123194
tt0009682,nm0588351
tt0009682,nm0916665
tt0009694,nm0596410
tt0009694,nm0830249
tt0009701,nm0275421
tt0009732,nm0907778
tt0009737,nm0028774
tt0009796,nm0534221
tt0009796,nm0790622
tt0009878,nm0386589
tt0009878,nm0652650
tt0009887,nm0907778
tt0009892,nm0546295
tt0009892,nm0309568
tt0009892,nm0152165
tt0009893,nm0473134
tt0009893,nm0523932
tt0009894,nm0127840
tt0009894,nm0623953
tt0009894,nm0708673
tt0009894,nm0741082
tt0009899,nm0369841
tt0009900,nm0193617
tt0009900,nm0794109
tt0009915,nm0606563
tt0009915,nm0715564
tt0009932,nm0730018
tt0009932,nm0907778
tt0009937,nm0002233
tt0009937,nm0239769
tt0009968,nm0121885
tt0009968,nm0000428
tt0009969,nm0460512
tt0009969,nm0824274
tt0009969,nm0869665
tt0009969,nm0926417
tt0009973,nm0907778
tt0009973,nm0516001
tt0009973,nm0730018
tt0009976,nm0809633
tt0009976,nm0811033
tt0009977,nm0177342
tt0009977,nm0824274
tt0009996,nm0565560
tt0010040,nm0916914
tt0010040,nm0426515
tt0010057,nm0000122
tt0010060,nm0857710
tt0010060,nm0167424
tt0010071,nm0534221
tt0010072,nm0907778
tt0010103,nm0545730
tt0010103,nm0662032
tt0010103,nm0926417
tt0010108,nm0000428
tt0010137,nm0534221
tt0010137,nm0783629
tt0010137,nm0210352
tt0010146,nm0516001
tt0010146,nm0907778
tt0010155,nm0369841
tt0010162,nm0256221
tt0010162,nm0002616
tt0010193,nm0355031
tt0010193,nm0853193
tt0010195,nm0716103
tt0010195,nm0340599
tt0010195,nm0940820
tt0010195,nm0929649
tt0010206,nm0074790
tt0010206,nm0803705
tt0010208,nm0067584
tt0010208,nm0432653
tt0010208,nm0519029
tt0010219,nm0265023
tt0010219,nm0940820
tt0010221,nm0369841
tt0010227,nm0289073
tt0010227,nm0566338
tt0010227,nm0560700
tt0010233,nm0784407
tt0010247,nm0481248
tt0010247,nm0596410
tt0010247,nm0830249
tt0010258,nm0907778
tt0010267,nm0513680
tt0010267,nm0566338
tt0010281,nm0473134
tt0010281,nm0523932
tt0010298,nm0481248
tt0010298,nm0803705
tt0010307,nm0304098
tt0010311,nm0907778
tt0010323,nm0562346
tt0010323,nm0417917
tt0010386,nm0517786
tt0010391,nm0000779
tt0010391,nm0117018
tt0010418,nm0534221
tt0010418,nm0057381
tt0010446,nm0716103
tt0010446,nm0517786
tt0010456,nm0473134
tt0010456,nm0778218
tt0010466,nm0169125
tt0010466,nm0205363
tt0010466,nm0205365
tt0010466,nm0348317
tt0010466,nm0655465
tt0010466,nm0875869
tt0010484,nm0000428
tt0010508,nm0907778
tt0010533,nm1720536
tt0010559,nm0000485
tt0010559,nm0000590
tt0010598,nm0003433
tt0010598,nm0291908
tt0010600,nm0006782
tt0010600,nm0473134
tt0010600,nm0523932
tt0010600,nm0932559
tt0010635,nm0604526
tt0010635,nm0265572
tt0010662,nm0853193
tt0010680,nm0219428
tt0010680,nm0519315
tt0010680,nm0528022
tt0010726,nm0000485
tt0010747,nm0000122
tt0010755,nm0107838
tt0010755,nm0513040
tt0010755,nm0596410
tt0010755,nm0830249
tt0010757,nm0281502
tt0010806,nm0294026
tt0010821,nm0374316
tt0010821,nm0509510
tt0010821,nm0000590
tt0010821,nm0829044
tt0010821,nm0652650
tt0010844,nm0175676
tt0010844,nm0299154
tt0010853,nm0837989
tt0010879,nm0001196
tt0010879,nm0281808
tt0010879,nm0313888
tt0010890,nm0132450
tt0010890,nm0309567
tt0010890,nm0950150
tt0010925,nm0784407
tt0010953,nm0107200
tt0010953,nm0462762
tt0010962,nm0266183
tt0010962,nm0473134
tt0010964,nm0413248
tt0010964,nm0830868
tt0010969,nm0072315
tt0010969,nm0275494
tt0011000,nm0406094
tt0011000,nm0179740
tt0011000,nm0003433
tt0011058,nm0281502
tt0011063,nm0281502
tt0011071,nm0166836
tt0011071,nm0000036
tt0011128,nm0336894
tt0011128,nm0341586
tt0011128,nm0784407
tt0011130,nm0829044
tt0011130,nm0073238
tt0011130,nm0838370
tt0011130,nm0928492
tt0011131,nm0370746
tt0011131,nm0829044
tt0011144,nm0166671
tt0011144,nm0907778
tt0011157,nm0378772
tt0011157,nm0596410
tt0011157,nm0635245
tt0011157,nm0830249
tt0011173,nm0106950
tt0011173,nm0418114
tt0011193,nm0547966
tt0011217,nm0088618
tt0011217,nm0562346
tt0011221,nm0562346
tt0011223,nm0907778
tt0011237,nm0917467
tt0011237,nm0301961
tt0011263,nm0907778
tt0011267,nm0046324
tt0011267,nm0114991
tt0011293,nm0166671
tt0011293,nm0907778
tt0011294,nm0173213
tt0011294,nm3561683
tt0011302,nm0478303
tt0011302,nm0051304
tt0011317,nm0403595
tt0011317,nm0495461
tt0011317,nm0547966
tt0011324,nm0853193
tt0011324,nm0949583
tt0011344,nm0124909
tt0011344,nm0662701
tt0011348,nm0829044
tt0011348,nm0417917
tt0011358,nm0002209
tt0011358,nm0774539
tt0011362,nm0432305
tt0011362,nm0481248
tt0011362,nm0803705
tt0011369,nm0304328
tt0011370,nm0342060
tt0011370,nm0803705
tt0011371,nm0473134
tt0011371,nm0523932
tt0011387,nm0178126
tt0011387,nm0227062
tt0011414,nm0256221
tt0011414,nm0002616
tt0011415,nm0000428
tt0011415,nm0830744
tt0011439,nm0191547
tt0011439,nm0001196
tt0011439,nm1491939
tt0011440,nm0359105
tt0011440,nm0814027
tt0011474,nm0001196
tt0011474,nm0313888
tt0011474,nm0569805
tt0011499,nm0074790
tt0011508,nm0000036
tt0011508,nm0166836
tt0011513,nm0193617
tt0011513,nm0366689
tt0011521,nm0907778
tt0011541,nm0166836
tt0011541,nm0000036
tt0011548,nm0281502
tt0011565,nm0606563
tt0011565,nm0448981
tt0011565,nm0518844
tt0011588,nm0692108
tt0011588,nm0193693
tt0011588,nm0547966
tt0011607,nm0003433
tt0011607,nm0418114
tt0011623,nm0150432
tt0011623,nm0547966
tt0011641,nm0473134
tt0011641,nm0523932
tt0011647,nm0206389
tt0011647,nm0286379
tt0011652,nm0397167
tt0011652,nm0544579
tt0011652,nm0558923
tt0011652,nm0810367
tt0011656,nm0000036
tt0011656,nm0166836
tt0011679,nm0837989
tt0011716,nm0534221
tt0011717,nm0123194
tt0011717,nm0813905
tt0011721,nm0412257
tt0011722,nm0174690
tt0011722,nm0907778
tt0011723,nm0000485
tt0011741,nm0950150
tt0011741,nm0117298
tt0011741,nm0271869
tt0011742,nm0275230
tt0011742,nm0473134
tt0011742,nm0523932
tt0011742,nm1084225
tt0011753,nm0716103
tt0011753,nm0340599
tt0011753,nm0940820
tt0011779,nm0385171
tt0011779,nm0366586
tt0011833,nm0433288
tt0011833,nm0435150
tt0011833,nm0552609
tt0011837,nm0000485
tt0011837,nm0902376
tt0011841,nm0662461
tt0011841,nm0103755
tt0011841,nm0342604
tt0011841,nm0446189
tt0011841,nm0000428
tt0011848,nm0192869
tt0011848,nm0240534
tt0011865,nm0697880
tt0011865,nm0210352
tt0011865,nm0184632
tt0011870,nm0584778
tt0011904,nm0606563
tt0011904,nm0927851
tt0011908,nm0123194
tt0011908,nm0384616
tt0011908,nm0884265
tt0011908,nm0257877
tt0011909,nm0774217
tt0011909,nm0534221
tt0011922,nm0730018
tt0011922,nm0853130
tt0011922,nm0907778
tt0011948,nm0511729
tt0011960,nm0473134
tt0011960,nm0523932
tt0011979,nm0916665
tt0011979,nm0651000
tt0011984,nm0000036
tt0011984,nm0166836
tt0012016,nm0042378
tt0012016,nm0048478
tt0012027,nm0241414
tt0012027,nm0558923
tt0012068,nm0558923
tt0012068,nm0051304
tt0012122,nm0121885
tt0012122,nm0000428
tt0012123,nm0565560
tt0012125,nm0364668
tt0012134,nm0478303
tt0012136,nm0010973
tt0012136,nm0715564
tt0012175,nm0217526
tt0012187,nm0001124
tt0012187,nm0534221
tt0012190,nm0087658
tt0012190,nm0558923
tt0012224,nm0000036
tt0012224,nm0820461
tt0012249,nm0313819
tt0012249,nm0000636
tt0012249,nm0898985
tt0012253,nm0166836
tt0012253,nm0000036
tt0012255,nm0166836
tt0012255,nm0000036
tt0012278,nm0166836
tt0012278,nm0000036
tt0012281,nm0562346
