"('mid',)","('pid',)"
tt0009893,nm0523932
tt0009894,nm0741082
tt0009899,nm0000779
tt0009900,nm0366689
tt0009915,nm0929649
tt0009932,nm0730018
tt0009937,nm0002233
tt0009968,nm0000428
tt0009969,nm0869665
tt0009973,nm0730018
tt0009976,nm0832584
tt0009977,nm0000406
tt0009986,nm0730018
tt0009996,nm0565560
tt0010040,nm0624714
tt0010057,nm0000122
tt0010060,nm0502752
tt0010071,nm0001124
tt0010072,nm0332531
tt0010103,nm0662032
tt0010108,nm0000428
tt0010137,nm0001124
tt0010146,nm0332531
tt0010146,nm0730018
tt0010155,nm0000779
tt0010162,nm0245385
tt0010180,nm0895048
tt0010193,nm0000428
tt0010195,nm0929649
tt0010206,nm0803705
tt0010208,nm0000485
tt0010219,nm0190516
tt0010221,nm0000779
tt0010227,nm0291548
tt0010227,nm0208657
tt0010233,nm0166836
tt0010247,nm0830249
tt0010258,nm0730018
tt0010267,nm0291548
tt0010281,nm0523932
tt0010298,nm0803705
tt0010307,nm0304098
tt0010311,nm0730018
tt0010321,nm0516001
tt0010321,nm0166671
tt0010323,nm0927468
tt0010386,nm0454535
tt0010391,nm0000779
tt0010418,nm0001124
tt0010435,nm0332531
tt0010446,nm0343650
tt0010446,nm0454535
tt0010456,nm0523932
tt0010466,nm0875869
tt0010484,nm0000428
tt0010522,nm0730018
tt0010533,nm1720536
tt0010559,nm0513617
tt0010598,nm0003433
tt0010600,nm0523932
tt0010632,nm0332531
tt0010635,nm0190516
tt0010656,nm0730018
tt0010662,nm0000428
tt0010680,nm0519315
tt0010726,nm0000485
tt0010732,nm0730018
tt0010747,nm0000122
tt0010755,nm0830249
tt0010757,nm0281502
tt0010806,nm0000428
tt0010821,nm0652650
tt0010844,nm0869665
tt0010853,nm0385171
tt0010879,nm0281808
tt0010890,nm0115218
tt0010925,nm0428059
tt0010930,nm0730018
tt0010953,nm0921244
tt0010962,nm0523932
tt0010964,nm0502752
tt0010969,nm0275494
tt0011000,nm0003433
tt0011058,nm0281487
tt0011058,nm0281502
tt0011063,nm0281502
tt0011063,nm0281487
tt0011071,nm0000036
tt0011071,nm0166836
tt0011128,nm0448915
tt0011128,nm0428059
tt0011128,nm0336894
tt0011130,nm0731910
tt0011131,nm0370746
tt0011144,nm0730018
tt0011157,nm0830249
tt0011173,nm0106950
tt0011193,nm0189076
tt0011217,nm0003638
tt0011221,nm0927468
tt0011223,nm0730018
tt0011237,nm0091380
tt0011237,nm0917467
tt0011263,nm0332531
tt0011263,nm0730018
tt0011267,nm0934749
tt0011293,nm0730018
tt0011294,nm0031134
tt0011302,nm0478303
tt0011317,nm0097648
tt0011324,nm0000428
tt0011344,nm0896542
tt0011348,nm0003638
tt0011358,nm0000406
tt0011362,nm0803705
tt0011369,nm0652302
tt0011370,nm0803705
tt0011371,nm0523932
tt0011387,nm0869665
tt0011387,nm0113284
tt0011414,nm0456634
tt0011415,nm0000428
tt0011439,nm0629243
tt0011440,nm0814027
tt0011474,nm0281808
tt0011499,nm0803705
tt0011508,nm0166836
tt0011508,nm0000036
tt0011513,nm0366689
tt0011521,nm0628345
tt0011521,nm0730018
tt0011541,nm0000036
tt0011541,nm0166836
tt0011545,nm0422135
tt0011548,nm0281502
tt0011565,nm0941637
tt0011588,nm0694260
tt0011607,nm0003433
tt0011623,nm0502752
tt0011623,nm0195950
tt0011641,nm0523932
tt0011647,nm0577654
tt0011652,nm0085133
tt0011652,nm0810367
tt0011656,nm0000036
tt0011656,nm0166836
tt0011679,nm0629243
tt0011716,nm0001124
tt0011717,nm0281321
tt0011717,nm0720886
tt0011721,nm0853336
tt0011722,nm0147749
tt0011723,nm0000485
tt0011741,nm0227020
tt0011742,nm0523932
tt0011753,nm0190516
tt0011779,nm0385171
tt0011833,nm0552609
tt0011837,nm0000485
tt0011841,nm0000428
tt0011848,nm0006276
tt0011865,nm0001124
tt0011870,nm0584778
tt0011904,nm0941637
tt0011908,nm0796657
tt0011908,nm0384616
tt0011909,nm0001124
tt0011922,nm0628345
tt0011948,nm0511729
tt0011960,nm0523932
tt0011979,nm0916665
tt0011984,nm0000036
tt0011984,nm0166836
tt0012016,nm0048478
tt0012027,nm0806605
tt0012068,nm0002271
tt0012122,nm0000428
tt0012123,nm0565560
tt0012125,nm0132720
tt0012134,nm0478303
tt0012136,nm0897085
tt0012175,nm0217526
tt0012187,nm0001124
tt0012190,nm0002271
tt0012224,nm0000036
tt0012224,nm0820461
tt0012249,nm0769942
tt0012249,nm0300544
tt0012253,nm0166836
tt0012253,nm0000036
tt0012255,nm0000036
tt0012255,nm0166836
tt0012278,nm0000036
tt0012278,nm0166836
tt0012281,nm0422226
tt0012281,nm0501902
tt0012303,nm0730018
tt0012304,nm0000122
tt0012313,nm0562004
tt0012314,nm0562004
tt0012320,nm0281487
tt0012334,nm0830249
tt0012347,nm0809467
tt0012347,nm0783865
tt0012349,nm0000122
tt0012364,nm0803705
tt0012382,nm0000779
tt0012382,nm0190516
tt0012397,nm0681927
tt0012397,nm0337586
tt0012408,nm0547966
tt0012409,nm0896542
tt0012465,nm0210352
tt0012467,nm0281487
tt0012486,nm0042317
tt0012486,nm0373511
tt0012494,nm0000485
tt0012499,nm0628345
tt0012512,nm0730018
tt0012512,nm0628345
tt0012513,nm0715716
tt0012532,nm0000428
tt0012538,nm0115218
tt0012543,nm0166836
tt0012543,nm0000036
tt0012570,nm0166836
tt0012570,nm0000036
tt0012620,nm0725257
tt0012631,nm0613600
tt0012642,nm0628345
tt0012645,nm0118266
tt0012646,nm0851537
tt0012646,nm0783865
tt0012650,nm0681726
tt0012651,nm0003638
tt0012657,nm0498174
tt0012675,nm0577654
tt0012699,nm0896542
tt0012745,nm0031134
tt0012752,nm0629243
tt0012755,nm0337586
tt0012755,nm0681927
tt0012763,nm0454771
tt0012769,nm0916665
tt0012806,nm0000485
tt0012928,nm0897085
tt0012938,nm0939992
tt0012945,nm0000036
tt0012945,nm0820461
tt0012952,nm0002188
tt0012952,nm0629243
tt0012973,nm0003638
tt0012975,nm0856161
tt0012985,nm0281487
tt0013014,nm0000370
tt0013025,nm0166836
tt0013025,nm0000036
tt0013033,nm0275494
tt0013055,nm0000036
tt0013055,nm0166836
tt0013059,nm0003433
tt0013075,nm0628345
tt0013075,nm0853130
tt0013085,nm0166730
tt0013086,nm0000485
tt0013099,nm0166836
tt0013099,nm0000036
tt0013122,nm0217526
tt0013127,nm0569697
tt0013127,nm0573743
tt0013134,nm0191899
tt0013140,nm0002233
tt0013149,nm0000370
tt0013158,nm0166836
tt0013158,nm0000036
tt0013169,nm0003433
tt0013201,nm0628345
tt0013223,nm0893418
tt0013257,nm0159725
tt0013281,nm0281487
tt0013312,nm0113284
tt0013323,nm0000370
tt0013332,nm0869665
tt0013341,nm0730386
tt0013367,nm0454535
tt0013372,nm0001124
tt0013386,nm0432216
tt0013386,nm0002233
tt0013402,nm0283444
tt0013404,nm0577654
tt0013416,nm0695456
tt0013422,nm0000036
tt0013422,nm0166836
tt0013427,nm0280904
tt0013428,nm0633394
tt0013442,nm0003638
tt0013450,nm0515979
tt0013458,nm0000428
tt0013469,nm0118266
tt0013472,nm0569697
tt0013486,nm0000122
tt0013488,nm0896542
tt0013496,nm0003638
tt0013512,nm0291548
tt0013515,nm0002271
tt0013520,nm0000370
tt0013556,nm0245385
tt0013571,nm0117065
tt0013571,nm0623417
tt0013574,nm0001124
tt0013579,nm0733208
tt0013590,nm0454771
tt0013592,nm0286379
tt0013597,nm0662032
tt0013607,nm0721840
tt0013619,nm0002031
tt0013626,nm0241273
tt0013662,nm0731910
tt0013674,nm0511729
tt0013688,nm0291387
tt0013690,nm0000370
tt0013704,nm0861336
tt0013705,nm0662840
tt0013730,nm0803705
tt0013735,nm0000406
tt0013741,nm0523932
tt0013750,nm0897085
tt0013800,nm0897085
tt0013800,nm0135052
tt0013802,nm0005847
tt0013807,nm0955405
tt0013817,nm0001124
tt0013823,nm0561668
tt0013823,nm0000370
tt0013823,nm0363414
tt0013830,nm0243295
tt0013834,nm0942048
tt0013834,nm0408436
tt0013845,nm0304098
tt0013846,nm0258477
tt0013858,nm0000036
tt0013858,nm0166836
tt0013865,nm0281487
tt0013868,nm0258477
tt0013909,nm0000406
tt0013916,nm0569697
tt0013933,nm0258477
tt0013951,nm0190516
tt0013973,nm0520419
tt0013982,nm0569697
tt0013992,nm0001178
tt0013994,nm0569697
tt0014014,nm0803705
tt0014029,nm0428059
tt0014063,nm0823088
tt0014108,nm0830249
tt0014109,nm0830249
tt0014112,nm0396378
tt0014142,nm0941637
tt0014179,nm0671501
tt0014186,nm0673375
tt0014205,nm0646058
tt0014218,nm0166836
tt0014218,nm0000036
tt0014320,nm0511399
tt0014321,nm0000406
tt0014341,nm0090007
tt0014341,nm0000036
tt0014358,nm0000122
tt0014397,nm0927468
tt0014406,nm0712915
tt0014407,nm0725257
tt0014416,nm0909825
tt0014416,nm0523932
tt0014417,nm0304098
tt0014419,nm0147749
tt0014429,nm0628345
tt0014429,nm0853130
tt0014440,nm0002271
tt0014446,nm0655065
tt0014463,nm0385171
tt0014497,nm0400912
tt0014516,nm0344583
tt0014524,nm0681726
tt0014532,nm0001124
tt0014538,nm0000036
tt0014538,nm0166836
tt0014584,nm0823088
tt0014586,nm0083532
tt0014586,nm0501902
tt0014604,nm0000428
